Tabela 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CD_CLI;NR_CTR;VR_CTR;DT_CTR;NR_PARCELA;VR_PARCELA;CODIGO;RATING;MOTIVO;PRODUTO;nome;idade;cpf;rg;data_nasc;sexo;signo;mae;pai;email;senha;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo;cor
;326;426;6820;2015-02-09;36;189.44;326;B;LIQUIDADO;EMPRESTIMO;Yasmin Carla Galvão;28;41152194089;408214545;03/09/1994 00:00;Feminino;Peixes;Elza Sônia;Yago Henrique Nelson Galvão;yasmin_carla_galvao@fernandesfilpi.com.br;SIpe3e6RkF;95088540;Rua Giovani Menegotto;588;São Victor COHAB;Caxias do Sul;RS;5436580966;54981408622;1,83;75;O+;verde
;327;427;9055;2015-02-09;60;150.92;327;B;LIQUIDADO;EMPRESTIMO;Maria Tatiane Almeida;45;36486747064;382055676;02/02/1977 00:00;Feminino;Aquário;Hadassa Sophia Carolina;Edson Leonardo André Almeida;mariatatianealmeida@plani.com.br;1ifROs1kZS;96422490;Rua Vital Brasil;402;Comandante Gustavo Kramer;Bagé;RS;5336036135;53985453616;1,64;55;O+;vermelho
;328;428;5064;2015-02-09;36;140.67;328;B;LIQUIDADO;EMPRESTIMO;Helena Gabrielly Evelyn Peixoto;33;41305655087;193845374;03/06/1989 00:00;Feminino;Peixes;Benedita Isabella;Marcos Fábio Peixoto;helenagabriellypeixoto@unicohost.com.br;2HkHW8o0ED;99074280;Rua São Vicente de Paula;571;Lucas Araújo;Passo Fundo;RS;5436335023;54996794447;1,74;63;B-;amarelo
;329;429;1441;2015-02-09;12;120.08;329;A;LIQUIDADO;EMPRESTIMO;Cláudio Manoel Carlos Eduardo Costa;72;49346156015;468189786;02/08/1950 00:00;Masculino;Aquário;Tereza Rebeca Liz;Iago Samuel Costa;claudiomanoelcosta@vmetaiscba.com.br;Eq46js5CoP;93214160;Travessa John Kennedy;422;Vacchi;Sapucaia do Sul;RS;5125452836;51997184659;1,66;75;O-;roxo
;330;430;756;2015-02-09;15;50.40;330;A;LIQUIDADO;EMPRESTIMO;Diego Theo Benedito Gonçalves;64;86996155070;208194927;03/01/1958 00:00;Masculino;Peixes;Emily Fátima Rebeca;Vitor Theo Gonçalves;diego-goncalves82@live.se;eu4NAsryYq;93218260;Rua Marcílio Dias;196;São José;Sapucaia do Sul;RS;5126441460;51997269704;1,9;82;B+;preto
;331;431;6465;2015-02-09;24;269.38;331;A;LIQUIDADO;EMPRESTIMO;Amanda Luzia de Paula;34;46815282007;206791719;02/11/1988 00:00;Feminino;Aquário;Cecília Sônia Aline;Victor Murilo Manoel de Paula;amanda-depaula97@click21.com.br;tigAzLLT3E;99042200;Rua Alcides Teixeira;756;José Alexandre Zachia;Passo Fundo;RS;5428596100;54995177975;1,77;84;B-;verde
;332;432;6115;2015-02-09;60;101.92;332;B;LIQUIDADO;EMPRESTIMO;Noah Pedro Monteiro;55;12741895007;230366053;02/10/1967 00:00;Masculino;Aquário;Juliana Isabella Natália;Kauê Pedro Henrique Pedro Henrique Monteiro;noah-monteiro85@citi.com;lg7L0Ax9Ok;90480050;Rua Dona Mimi Moro;501;Boa Vista;Porto Alegre;RS;5126194261;51993875774;1,94;106;B-;roxo
;333;433;6462;2015-02-09;24;269.25;333;A;LIQUIDADO;EMPRESTIMO;Diego Edson da Luz;63;859655024;373119197;03/10/1959 00:00;Masculino;Peixes;Hadassa Clarice Ayla;Renato Nathan Guilherme da Luz;diego-daluz74@acaocontabilsjc.com.br;9hrrNAmRDd;96071104;Rua Vinte e Três;868;Três Vendas;Pelotas;RS;5339488487;53984757095;1,99;96;B-;vermelho
;334;434;5524;2015-02-09;42;131.52;334;B;LIQUIDADO;EMPRESTIMO;Elisa Cecília Cristiane Pereira;56;90920400027;370013207;03/10/1966 00:00;Feminino;Peixes;Francisca Clarice;Ruan Fernando Elias Pereira;elisa_cecilia_pereira@daruma.com.br;9B4lr45m42;91570042;Rua Três;569;Lomba do Pinheiro;Porto Alegre;RS;5137647628;51988768386;1,54;73;O-;verde
;335;435;8603;2015-02-09;80;107.54;335;A;LIQUIDADO PORTABILIDADE;CONSIGNADO;Tomás Kevin da Cunha;73;63259505008;238585761;03/03/1949 00:00;Masculino;Peixes;Regina Isabelle Patrícia;Miguel Mateus da Cunha;tomaskevindacunha@fortlar.com.br;kU7BpzkWM2;91253070;Rua Dois Mil Sessenta Três;994;Mário Quintana;Porto Alegre;RS;5125331595;51993634773;1,78;55;O-;roxo
;336;436;97;2015-02-09;18;126.44;336;A;LIQUIDADO;EMPRESTIMO;Betina Beatriz Heloise da Silva;66;1293681059;379113739;03/10/1956 00:00;Feminino;Peixes;Heloise Sandra;Breno Márcio da Silva;betina-dasilva73@cerimoniallis.com.br;gCmSrhpuo5;90840836;Beco Onze;295;Santa Tereza;Porto Alegre;RS;5125243841;51987634705;1,55;78;AB+;laranja
;337;437;3266;2015-02-09;24;136.08;337;A;LIQUIDADO;EMPRESTIMO;Francisca Luana Antônia Novaes;74;24470888095;294250736;02/01/1948 00:00;Feminino;Aquário;Jaqueline Allana Fabiana;Pedro Henrique Manoel Cauê Novaes;francisca_luana_novaes@publiout.com.br;x9Eqdfup8O;93010010;Avenida Dom João Becker;505;Centro;São Leopoldo;RS;5135852147;51981389116;1,8;75;B+;vermelho
;338;438;4358;2015-02-09;36;121.06;338;A;LIQUIDADO;EMPRESTIMO;Cristiane Fabiana Araújo;69;32319333070;378098913;01/07/1953 00:00;Feminino;Capricórnio;Marli Hadassa Carolina;Bryan Mário Osvaldo Araújo;cristianefabianaaraujo@ipmmi.org.br;g8LUn9OAQm;91760130;Rua Adão Juvenal de Souza;569;Cavalhada;Porto Alegre;RS;5127624191;51998236403;1,81;50;AB+;vermelho
;339;439;948;2015-02-09;15;63.20;339;A;LIQUIDADO;EMPRESTIMO;Calebe Danilo Aragão;40;12438606002;357245404;01/01/1982 00:00;Masculino;Capricórnio;Giovana Isabelle Giovana;Rodrigo Elias Daniel Aragão;calebedaniloaragao@shimu.com.br;0NNL16tALK;94970815;Rua Líbero Badaró;874;Jardim Betânia;Cachoeirinha;RS;5128445151;51986710963;1,82;106;B-;preto
;340;440;9853;2015-02-09;36;273.69;340;A;LIQUIDADO;EMPRESTIMO;Antonio Jorge Rocha;45;36152523060;273372154;02/06/1977 00:00;Masculino;Aquário;Vanessa Mariah Isabelle;Carlos Eduardo Vinicius Rocha;antonio_jorge_rocha@usa.com;eLC6lXJ59U;91240090;Avenida Juscelino Kubitschek de Oliveira;475;Protásio Alves;Porto Alegre;RS;5126519814;51986189507;1,64;106;O+;vermelho
;341;441;132;2015-02-09;72;102.39;341;A;LIQUIDADO PORTABILIDADE;CONSIGNADO;Gabriela Antônia Santos;79;77718612023;387981603;02/07/1943 00:00;Feminino;Aquário;Priscila Sabrina;Marcos Vinicius Márcio Renan Santos;gabriela_antonia_santos@uou.com.br;89z6qmGbW2;92330250;Rua São Sepé;827;Mathias Velho;Canoas;RS;5126198210;51992097005;1,85;86;AB-;laranja
;342;442;9398;2015-02-09;48;195.79;342;A;LIQUIDADO;EMPRESTIMO;Tereza Adriana Gonçalves;43;70519034031;159431025;03/04/1979 00:00;Feminino;Peixes;Vera Sabrina Aline;Felipe Sebastião Gonçalves;tereza_goncalves@brf-br.com;cze17a8rdf;91795260;Acesso Três;679;Restinga;Porto Alegre;RS;5139273952;51995674054;1,78;63;A-;laranja
;343;443;5040;2015-02-09;36;140.00;343;A;LIQUIDADO;EMPRESTIMO;Isabelle Sueli Elaine Aparício;23;64412874044;377769976;01/10/1999 00:00;Feminino;Capricórnio;Cecília Tatiane Isabela;Emanuel Isaac Aparício;isabellesueliaparicio@ig.com.br;jyyIdjIGDm;94935070;Rua Arminda Lombardo;871;COHAB;Cachoeirinha;RS;5135481787;51985960409;1,62;72;O-;roxo
;344;444;7607;2015-02-09;72;105.65;344;A;LIQUIDADO;CONSIGNADO;Luciana Mirella Duarte;26;20471588008;269039405;02/05/1996 00:00;Feminino;Aquário;Clara Luzia Milena;Rodrigo Arthur Duarte;luciana_mirella_duarte@folha.com.br;0MA8m44z7T;96040506;Rua Cinco;246;Fragata;Pelotas;RS;5336270572;53999238786;1,64;50;B-;preto
;345;445;8134;2015-02-09;36;225.94;345;A;LIQUIDADO;EMPRESTIMO;Carla Sueli Porto;49;68357150063;368527153;01/09/1973 00:00;Feminino;Capricórnio;Aurora Olivia;Thales Enrico Porto;carla_porto@agacapital.com.br;rK4Mzu5fkP;95057360;Rua Emília Telli;902;São Ciro;Caxias do Sul;RS;5438926599;54996716029;1,84;77;AB-;roxo
;346;446;8841;2015-02-09;96;92.09;346;A;ATIVO;CONSIGNADO;Evelyn Ayla Pires;50;6106118019;282026162;01/08/1972 00:00;Feminino;Capricórnio;Andreia Isabelle;Marcos Vinicius Heitor Sérgio Pires;evelyn_ayla_pires@bb.com.br;Rduy47aAog;91780210;Rua Boa Vista;475;Belém Novo;Porto Alegre;RS;5139813972;51997824154;1,83;49;A-;amarelo
;347;447;5848;2015-02-09;36;162.44;347;A;LIQUIDADO;EMPRESTIMO;Cláudio Sérgio Manoel Almeida;54;56321571059;269314295;03/05/1968 00:00;Masculino;Peixes;Sueli Emily Olivia;Kaique Yago Jorge Almeida;claudio_almeida@racml.com.br;2lrTAnugSE;99700124;Rua Marcílio Dias;706;Centro;Erechim;RS;5435733217;54987735257;1,64;81;AB+;amarelo
;348;448;2589;2015-02-09;12;215.75;348;A;LIQUIDADO;EMPRESTIMO;Thales Augusto Alves;65;95171479020;355704766;01/06/1957 00:00;Masculino;Capricórnio;Aparecida Elaine;Luiz Leandro Luiz Alves;thalesaugustoalves@freitasprior.com.br;j96TmgyjG5;96418070;Rua Adolfo Luiz Dupont;666;Castro Alves;Bagé;RS;5337556182;53984075529;1,9;53;A+;verde
;349;449;7522;2015-02-09;72;104.47;349;A;LIQUIDADO OBITO;CONSIGNADO;Cláudio Nathan Ricardo Jesus;54;85061153022;319045195;03/09/1968 00:00;Masculino;Peixes;Malu Allana;Felipe Samuel André Jesus;claudionathanjesus@construtoracostanorte.com.br;S0S2XMYOtb;94955740;Travessa Feliz;494;Vila Anair;Cachoeirinha;RS;5129442800;51988647783;1,99;85;AB+;laranja
;350;450;9388;2015-02-09;48;195.58;350;A;LIQUIDADO;EMPRESTIMO;Rodrigo Levi Moraes;27;13095103000;356861831;03/09/1995 00:00;Masculino;Peixes;Gabrielly Ayla;Cauã Bernardo Edson Moraes;rodrigo-moraes79@clickfios.com.br;XKS6x9H5TN;96508440;Rua São Bartolomeu;803;Carvalho;Cachoeira do Sul;RS;5125569666;51996549712;1,99;108;O-;roxo
;351;451;4595;2015-02-09;24;191.46;351;A;LIQUIDADO;EMPRESTIMO;Victor Manoel Teixeira;20;5334818057;409148878;03/07/2002 00:00;Masculino;Peixes;Julia Márcia;Ricardo Osvaldo Guilherme Teixeira;victor_teixeira@dpf.gov.br;0rt4coxdNG;94470180;Rua Vinte e Oito de Janeiro;199;Viamópolis;Viamão;RS;5128459746;51996124815;1,98;92;O-;vermelho
;352;452;8399;2015-02-09;60;139.98;352;A;LIQUIDADO;EMPRESTIMO;Breno Vinicius Martins;48;79341864011;257403516;03/01/1974 00:00;Masculino;Peixes;Raquel Aparecida;Manoel Victor Martins;brenoviniciusmartins@desir.com.br;4OPXm9sW7H;97507220;Rua Mário Quintana;972;Ipiranga;Uruguaiana;RS;5528720787;55994724782;1,75;58;AB+;vermelho
;353;453;7597;2015-02-09;72;105.51;353;A;LIQUIDADO;CONSIGNADO;Benício André Tomás Brito;79;76874275054;312982239;03/01/1943 00:00;Masculino;Peixes;Maria Marcela Luciana;Gabriel Pedro Henrique Brito;benicio_andre_brito@geniustyres.com.br;eppcM8qAoh;92130310;Rua Campos Sales;923;Niterói;Canoas;RS;5129553765;51987566342;1,7;56;AB+;amarelo
;354;454;8337;2015-02-09;60;138.95;354;A;LIQUIDADO;EMPRESTIMO;Nelson Thiago Fernandes;33;30127192026;356039262;01/01/1989 00:00;Masculino;Capricórnio;Elaine Cecília;Caio Vinicius Fernandes;nelson_fernandes@openlink.com.br;jAjzmKt6P3;91750091;Rua José Abraham Diaz;224;Aberta dos Morros;Porto Alegre;RS;5135046787;51985697764;1,73;99;A-;vermelho
;355;455;9633;2015-02-09;48;200.69;355;A;LIQUIDADO;EMPRESTIMO;Davi Yago Enzo Santos;72;43460499079;465138627;03/04/1950 00:00;Masculino;Peixes;Melissa Nina;Isaac Benício Santos;daviyagosantos@outlock.com.br;Gwb8p7zIRT;96050310;Rua Tete;370;Fragata;Pelotas;RS;5339982995;53988763935;1,77;61;AB-;amarelo
;356;456;5441;2015-02-09;36;151.14;356;A;LIQUIDADO;EMPRESTIMO;Nelson Arthur Ramos;19;42102925080;358281386;03/04/2003 00:00;Masculino;Peixes;Isadora Isabel Raimunda;Anthony Diogo Ramos;nelson_arthur_ramos@cenia.com.br;t1Dwe344JB;94490470;Rua São Lourenço;661;Nossa Senhora Aparecida;Viamão;RS;5125907233;51996287657;1,71;56;A-;vermelho
;357;457;4861;2015-02-09;24;202.54;357;A;LIQUIDADO;EMPRESTIMO;Davi Kauê Severino Assunção;63;74663873065;509787915;02/06/1959 00:00;Masculino;Aquário;Tânia Valentina Emanuelly;Ryan Leonardo Assunção;davi_assuncao@terra.com.br;6GYoGXc20I;91130110;Rua Algarve;444;Sarandi;Porto Alegre;RS;5128518891;51991727982;1,7;109;B+;vermelho
;358;458;8948;2015-02-09;60;149.13;358;A;LIQUIDADO;EMPRESTIMO;Adriana Francisca da Silva;31;98583497001;131823577;03/02/1991 00:00;Feminino;Peixes;Olivia Marli Carolina;Erick Thomas da Silva;adriana_francisca_dasilva@deze7.com.br;f6ysB9E70o;94960130;Rua Carlos Souza Feijó;805;Parque Granja Esperança;Cachoeirinha;RS;5128196133;51995899255;1,64;56;AB-;azul
;359;459;9299;2015-02-09;60;154.98;359;A;LIQUIDADO;EMPRESTIMO;Iago Marcos Vinicius Almeida;59;68545366000;377726278;02/01/1963 00:00;Masculino;Aquário;Heloisa Ana Liz;Cauê Ricardo Otávio Almeida;iago.marcos.almeida@ig.com.br;1n1cSmF7ep;92110470;Rua Osvaldo Cruz;481;Niterói;Canoas;RS;5128047459;51989052178;1,71;57;A-;vermelho
;360;460;6379;2015-02-09;48;132.90;360;A;LIQUIDADO;EMPRESTIMO;Noah Henry Jesus;51;61711728047;386950878;03/04/1971 00:00;Masculino;Peixes;Isabella Louise;Martin Diego Diego Jesus;noah-jesus76@maccropropaganda.com.br;mQPm87rmId;97509236;Quadra H;959;União das Vilas;Uruguaiana;RS;5535534749;55986310082;1,88;73;O-;azul
;361;461;4916;2015-02-09;48;102.42;361;B;LIQUIDADO;EMPRESTIMO;Felipe Joaquim André da Cunha;48;24526623059;311432797;03/03/1974 00:00;Masculino;Peixes;Silvana Manuela Rosa;Nelson Pedro Henrique Isaac da Cunha;felipe-dacunha93@beminvestir.com.br;Rr7GNGYdj4;94950290;Rua Morumbi;574;Parque da Matriz;Cachoeirinha;RS;5128800458;51982799189;1,95;84;O-;laranja
;362;462;2029;2015-02-09;24;84.54;362;E;LUCROS E PERDAS;EMPRESTIMO;Nathan Roberto Farias;31;22819068090;447832815;01/12/1991 00:00;Masculino;Capricórnio;Vanessa Cecília;Ryan Pedro Luan Farias;nathanrobertofarias@gringa360.com.br;1EbC4NTIdK;94110340;Rua Mário Quintana;741;Parque Ipiranga;Gravataí;RS;5136408180;51999390638;1,77;65;O-;azul
;363;463;176;2015-02-09;36;150.92;363;B;LIQUIDADO;EMPRESTIMO;Bernardo Raimundo João Araújo;56;9230753050;490090461;02/10/1966 00:00;Masculino;Aquário;Rosa Sabrina Patrícia;Guilherme Rafael Victor Araújo;bernardoraimundoaraujo@dgh.com.br;jHWKFWNGRe;94515090;Rua Sete;708;Vila Augusta;Viamão;RS;5128245424;51982158804;1,64;94;O-;azul
;364;464;3072;2015-02-09;18;170.67;364;A;LIQUIDADO;EMPRESTIMO;Catarina Marli Fogaça;57;37368612062;186279851;02/04/1965 00:00;Feminino;Aquário;Fernanda Laís;Pietro Nelson Cláudio Fogaça;catarina.marli.fogaca@formigueiromaquinas.com.br;PQ63ej22RN;94090360;Rua Lagoa Vermelha;267;Vera Cruz;Gravataí;RS;5136267865;51981789064;1,73;54;AB+;preto
;365;465;2728;2015-02-09;18;151.56;365;A;LIQUIDADO;EMPRESTIMO;Kaique Leonardo Noah Vieira;59;18107422007;223966046;02/10/1963 00:00;Masculino;Aquário;Sabrina Vitória Caroline;Henrique Iago Thomas Vieira;kaique_vieira@athoscontabil.com.br;LxS1GrcRkn;98025590;Rua Olmiro Mercaus;410;Nossa Senhora da Penha;Cruz Alta;RS;5535890855;55981777971;1,62;63;AB-;vermelho
;366;466;3820;2015-02-09;36;106.11;366;B;LIQUIDADO;EMPRESTIMO;Marlene Malu Barros;28;54728134091;141471815;03/04/1994 00:00;Feminino;Peixes;Nair Jennifer Isabella;Emanuel Victor Augusto Barros;marlene_malu_barros@globomail.com;RwAw3J6cks;95088036;Rua dos Cravos;624;São Victor COHAB;Caxias do Sul;RS;5435216048;54982147159;1,52;89;A+;preto
;367;467;1942;2015-02-09;24;80.92;367;A;LIQUIDADO;EMPRESTIMO;Rebeca Teresinha Viana;23;91286852021;162570855;01/07/1999 00:00;Feminino;Capricórnio;Renata Carolina Hadassa;Augusto Ricardo Kevin Viana;rebeca.teresinha.viana@murosterrae.com.br;cMOhXfmSn1;99072820;Rua João Biazuz;936;Vila Luiza;Passo Fundo;RS;5427309317;54983967337;1,81;50;O+;amarelo
;368;468;5181;2015-02-09;72;71.96;368;A;LIQUIDADO;CONSIGNADO;Sophie Clarice Freitas;70;58060651030;347652566;03/03/1952 00:00;Feminino;Peixes;Marcela Alessandra;Kauê Francisco Freitas;sophie_clarice_freitas@santosferreira.adv.br;MLjCwUSSLX;93025650;Rua João Neves da Fontoura;261;São Miguel;São Leopoldo;RS;5128825824;51985461652;1,72;72;B-;vermelho
;369;469;4975;2015-02-09;48;103.65;369;B;LIQUIDADO;EMPRESTIMO;Marcela Sarah Monteiro;34;72556887052;346954848;02/11/1988 00:00;Feminino;Aquário;Ester Sophia;Tomás Caio Monteiro;marcela.sarah.monteiro@ciroconsultoria.com.br;CYyS9exxwT;97511492;Rua João Caffarate;794;Cidade Nova;Uruguaiana;RS;5529023565;55992290333;1,51;74;A-;azul
;370;470;8080;2015-02-09;36;224.44;370;B;LIQUIDADO;EMPRESTIMO;Miguel Iago Cavalcanti;46;31661752020;114157017;03/08/1976 00:00;Masculino;Peixes;Marli Regina Stella;Samuel Mateus Calebe Cavalcanti;migueliagocavalcanti@chavao.com.br;Mr9osYWGj8;94965575;Travessa do Povo;542;Nova Cachoeirinha;Cachoeirinha;RS;5137615691;51986947140;1,7;53;B+;amarelo
;371;471;1707;2015-02-09;15;113.80;371;A;LIQUIDADO;EMPRESTIMO;Simone Julia da Mata;68;4810797007;230714626;02/02/1954 00:00;Feminino;Aquário;Isadora Giovanna Rafaela;Caleb Mário da Mata;simone-damata72@vol.com.br;zGdnbiFeB4;93542240;Rua Berlim;801;Canudos;Novo Hamburgo;RS;5136799352;51992733243;1,71;45;AB+;amarelo
;372;472;4371;2015-02-09;36;121.42;372;B;LIQUIDADO;EMPRESTIMO;Mariana Louise Juliana Moraes;65;30604415028;264523787;01/04/1957 00:00;Feminino;Capricórnio;Liz Luna Stefany;Erick Antonio Isaac Moraes;mariana_louise_moraes@fk1.com.br;7ZMlyo8Isj;91570320;Rua São Crispim;569;Lomba do Pinheiro;Porto Alegre;RS;5135526124;51988208151;1,69;86;B+;vermelho
;373;473;8357;2015-02-09;60;139.28;373;B;LIQUIDADO;EMPRESTIMO;Rodrigo Cauê Henrique Silva;79;45167194016;208395532;03/01/1943 00:00;Masculino;Peixes;Eloá Gabriela;Eduardo Kauê Silva;rodrigocauesilva@devuono.com.br;yb7Xry5HWE;98802570;Rua Ernesto Braatz;222;Dido;Santo Ângelo;RS;5537684000;55981898897;1,61;50;AB-;azul
;374;474;6466;2015-02-09;24;269.42;374;A;LIQUIDADO;EMPRESTIMO;Ester Manuela Moreira;29;79652807010;282931739;02/04/1993 00:00;Feminino;Aquário;Hadassa Isabela Rayssa;Bruno Augusto Benjamin Moreira;ester-moreira72@arteche.com.br;gjm7B5Iy3t;91260511;Beco Dois;140;Mário Quintana;Porto Alegre;RS;5126610644;51988299402;1,82;64;B-;laranja
;375;475;9872;2015-02-09;36;274.22;375;B;LIQUIDADO;EMPRESTIMO;Giovanni Gustavo Manoel da Conceição;61;91010555006;246015032;03/03/1961 00:00;Masculino;Peixes;Sophia Andreia Giovanna;Enrico Lucca Ruan da Conceição;giovanni.gustavo.daconceicao@lukin4.com.br;1MdhiEChLH;92425610;Rua Alexandria;401;São José;Canoas;RS;5139547243;51998885659;1,88;59;B+;amarelo
;376;476;5087;2015-02-09;36;141.31;376;B;LIQUIDADO;EMPRESTIMO;Carlos Danilo Noah da Cruz;35;94272333038;119778002;03/05/1987 00:00;Masculino;Peixes;Sandra Isabella Sônia;Alexandre Hugo da Cruz;carlos_danilo_dacruz@santosdumonthospital.com.br;GFsYIrLFLd;95044040;Rua Rafael Golin Tomé;639;Nossa Senhora da Saúde;Caxias do Sul;RS;5426924727;54995611555;1,81;81;A-;preto
;377;477;8062;2015-02-09;36;223.94;377;B;LIQUIDADO;EMPRESTIMO;Melissa Daiane da Mata;28;52424449082;429112567;03/01/1994 00:00;Feminino;Peixes;Sophia Melissa;Lucas Fernando Eduardo da Mata;melissadaianedamata@policiapenal.com;ORWYEQoljD;91340020;Rua Antônio Carlos Berta;289;Boa Vista;Porto Alegre;RS;5129747895;51987183695;1,6;72;A-;laranja
;378;478;5550;2015-02-09;42;132.14;378;B;LIQUIDADO;EMPRESTIMO;Pedro Henrique Hugo Kevin Ribeiro;47;14570561004;132108586;01/08/1975 00:00;Masculino;Capricórnio;Cristiane Gabrielly;Elias Gabriel Nathan Ribeiro;pedro-ribeiro95@omnibrasil.com.br;CBifGuWPO2;93230702;Rua Rio Bonito;758;Boa Vista;Sapucaia do Sul;RS;5129199828;51995244827;1,69;68;AB-;roxo
;379;479;1731;2015-02-09;15;115.40;379;A;LIQUIDADO;EMPRESTIMO;Lorenzo Guilherme Nelson Campos;24;86305996008;286904147;03/03/1998 00:00;Masculino;Peixes;Bruna Patrícia Lorena;Vicente Felipe Campos;lorenzo_campos@easytechconsultoria.com.br;3RTAtBajst;96508750;Rua Quinze de Novembro;680;Centro;Cachoeira do Sul;RS;5138915730;51996515592;1,73;73;AB-;amarelo
;380;480;5932;2015-02-09;42;141.24;380;B;LIQUIDADO;EMPRESTIMO;Evelyn Daniela Pinto;43;48452020007;168747029;01/01/1979 00:00;Feminino;Capricórnio;Sandra Ayla;Levi Ryan Nelson Pinto;evelyndanielapinto@gamal.com.br;2D8RM09qsa;97460970;Rua Barão Candiota, s/n;278;Centro;Umbu;RS;5537735964;55986185429;1,81;65;B-;roxo
;381;481;1078;2015-02-09;24;44.92;381;A;LIQUIDADO;EMPRESTIMO;Bruna Sarah Nicole Ferreira;77;63880713090;444073358;02/06/1945 00:00;Feminino;Aquário;Agatha Laura Sebastiana;Vinicius Nelson Ferreira;brunasarahferreira@wwlimpador.com.br;9PY6FxQxLI;96280974;Rodovia RST-101 Km 52;229;Barros;Doutor Edgardo Pereira Velho;RS;5136683573;51983188395;1,61;74;O+;preto
;382;482;1778;2015-02-09;15;118.53;382;A;LIQUIDADO;EMPRESTIMO;Camila Liz Oliveira;45;11036192091;497157627;01/08/1977 00:00;Feminino;Capricórnio;Isadora Fabiana Isabella;Nicolas Benício Davi Oliveira;camila-oliveira98@dillon.com.br;w2uMzd87kC;93032600;Estrada do Morro de Sapucaia;156;Fazenda São Borja;São Leopoldo;RS;5136837896;51983812427;1,62;68;A-;azul
;383;483;1970;2015-02-09;24;82.08;383;A;LIQUIDADO;EMPRESTIMO;Eliane Melissa Juliana Viana;69;66583866099;219705021;03/06/1953 00:00;Feminino;Peixes;Luzia Sophie;Felipe Ruan Viana;eliane-viana93@tedde.com.br;X2dLJbr1HO;91770810;Rua Argemiro Ogando Corrêa;686;Serraria;Porto Alegre;RS;5137893590;51983972006;1,6;63;B+;azul
;384;484;2555;2015-02-09;12;212.92;384;A;LIQUIDADO;EMPRESTIMO;Iago Danilo Monteiro;63;67451383016;254573198;01/03/1959 00:00;Masculino;Capricórnio;Maitê Rosângela;Lorenzo Paulo Monteiro;iago_danilo_monteiro@dafitex.com.br;Igo14HKj3o;95080520;Rua Manoel Portilho Mendonça;274;Panazzolo;Caxias do Sul;RS;5438630146;54995729084;1,86;55;O-;vermelho
;385;485;474;2015-02-09;24;19.75;385;A;LIQUIDADO;EMPRESTIMO;Carlos Matheus Ramos;29;59140309002;123143287;01/07/1993 00:00;Masculino;Capricórnio;Flávia Ester;Nathan Jorge Ramos;carlosmatheusramos@kframe.com.br;O10a5JugH6;91160221;Acesso I Sete;794;Rubem Berta;Porto Alegre;RS;5126002469;51986660069;1,68;58;A+;verde
;386;486;1551;2015-02-09;15;103.40;386;A;LIQUIDADO;EMPRESTIMO;Augusto Nelson dos Santos;56;85908032018;396359255;01/06/1966 00:00;Masculino;Capricórnio;Larissa Rita;Heitor Elias dos Santos;augusto-dossantos76@huios.com.br;ngFCOs8GR5;97035580;Rua Palmas;790;Juscelino Kubitschek;Santa Maria;RS;5528693736;55985527192;1,98;58;AB+;vermelho
;387;487;4154;2015-02-09;36;115.39;387;B;LIQUIDADO;EMPRESTIMO;Fernanda Maria Rezende;73;82519522046;241375228;03/03/1949 00:00;Feminino;Peixes;Sara Patrícia;Joaquim Daniel Paulo Rezende;fernandamariarezende@viamoc.com.br;US4NpCthQS;97010220;Rua Henrique Dias;592;Centro;Santa Maria;RS;5527449880;55991567689;1,64;77;O-;preto
;388;488;8745;2015-02-09;80;109.31;388;A;LIQUIDADO;CONSIGNADO;Giovanni Julio Alves;67;85778196040;335413511;01/05/1955 00:00;Masculino;Capricórnio;Nina Luiza Aurora;Ian Ricardo Alves;giovannijulioalves@cafefrossard.com;bBLOkskeQS;99704396;Rua Espírito Santo;160;Linho;Erechim;RS;5429051279;54991364752;1,81;91;A-;roxo
